id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
195881,OBI,,,PreservedSpecimen,4528d6bc-d387-4394-983a-d67e95112804,OBI123660,12291,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"Morella californica, David J. Keil, 2011",,,,,,,"Lewis S. Rose",,65091,1965-08-25,1965,8,25,237,,25-Aug-65,,"Wet sandy gully",,,,,,,,,,,,,,,,,,"United States",California,"San Francisco",,"Lake Merced, above Brotherhood Way",,0,,37.714,-122.4745,WGS84,1000,,"San Jose S.U. A",,"GoogleMaps via BerkeleyMapper (copied from HSC7765)",,"georef from 2006-2015 archive backup file; Date Georeferenced: Thu Aug 22 13:27:11 2013",15,,,,,50ft.,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:afbd63c0-86a2-41c4-beba-aa17f68ec9fd,https://www.cch2.org/portal/collections/individual/index.php?occid=195881
195883,OBI,,,PreservedSpecimen,3bdf7f4b-bd22-448e-89f9-128c0469ca0e,OBI123653,3303,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"Morella californica, David J. Keil, 2011",,,,,,,"Neil Havlik",,464,1969-05-30,1969,5,30,150,,30-May-69,,"Growing with Lithocarpus and Pinus muricata, on a N facing slope in clay loam soil; Common",,"Some plants tree size, shrub, 8 ft tall",,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"At Jualachichi Summit, 5 mi S of Hwy 1 on Jalama rd",,0,,34.528,-120.394,NAD27,1000,,"Santa Barbara Botanic Garden A",,"Terrain Nav. v. 8.7 (copied from SBBG87161)",,"georef from 2006-2015 archive backup file; Date Georeferenced: Mon Feb 17 15:13:31 2014",427,,,,,1400ft.,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:28f224d9-f1f7-4724-98b0-61a829e9b747,https://www.cch2.org/portal/collections/individual/index.php?occid=195883
195885,OBI,,,PreservedSpecimen,564c6cc1-2ba8-4378-aeb8-3b4d52a30741,OBI123659,4034,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"Morella californica, David J. Keil, 2011",,,,,,,"Ralph N. Philbrick",,s.n.,1964-06-04,1964,6,4,156,,4-Jun-64,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Edge of water, Oso Flaco Lake",,0,,35.03,-120.6175,NAD83,2000,,"Santa Barbara Botanic Garden A",,"Terrain Nav. v. 8.7 (copied from SBBG35759)",,"georef from old CCH cumulative file",,,,,,,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:24065adc-aa61-4094-ad79-03eadd9d904b,https://www.cch2.org/portal/collections/individual/index.php?occid=195885
195886,OBI,,,PreservedSpecimen,10bc135a-8bf9-42a5-8699-5588c7f01899,OBI123651,12289,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"Morella californica, David J. Keil, 2011",,,,,,,"Robert F. Hoover",,6347,1946-08-26,1946,8,26,238,,26-Aug-46,,"Bordering moist stream-bed in sandy rolling country",,,,,,,,,,,,,,,,,,"United States",California,"San Luis Obispo",,"Los Osos Valley",,0,,35.297793,-120.77324,WGS84,6000,,"CalPoly A",,GEOLocate,,"georef from 2006-2015 archive backup file; Date Georeferenced: Tue Jun 30 17:33:26 2015",,,,,,,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:d4608d56-bb66-4db6-a11e-7962f3a97397,https://www.cch2.org/portal/collections/individual/index.php?occid=195886
195887,OBI,,,PreservedSpecimen,2cf2fe7b-3749-4274-aabd-46ee5967e812,OBI123661,4411,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"Morella californica, David J. Keil, 2011",,,,,,,"Robert J. Rodin",,8424,1970-09-10,1970,9,10,253,,10-Sep-70,,"Hollow in sand dunes",,"Small tree 15 ft high in low spot, berries rough textured, purple-black",,,,,,,,,,,,,,,,"United States",California,"San Luis Obispo",,"300 yds from the Pacific Ocean near a shell mound in Pismo Beach State park",,0,,35.08722,-120.62667,,,,,,TopoZoneACS,,"copied from duplicate",,,,,,,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:fc1e95b9-4879-4b4f-8292-8168a282e521,https://www.cch2.org/portal/collections/individual/index.php?occid=195887
195888,OBI,,,PreservedSpecimen,624191ec-1d53-41aa-9dd3-aec20779177f,OBI123656,30385,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"Morella californica, David J. Keil, 2011",,,,,,,"Robert J. Rodin",,8607,1972-03-29,1972,3,29,89,,29-Mar-72,,,,"Dense shrubs 10 ft high",,,,,,,,,,,,,,,,"United States",California,"San Luis Obispo",,"Near effluent of Oso Flaco in the Nipomo Dunes",,0,,35.03,-120.6175,NAD83,2000,,"CalPoly D",,"Terrain Nav. v. 8.7 (copied from SBBG25525)",,"georef from old CCH cumulative file",,,,,,,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:24aafb74-18a6-46df-9e2a-6243daccec32,https://www.cch2.org/portal/collections/individual/index.php?occid=195888
217263,OBI,,,PreservedSpecimen,8b65ad3c-b47c-44a2-aa32-0b3bf704694e,OBI161812,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,,,,,,,,"Monika Richardson","Jim West",262,2017-08-11,2017,8,11,223,,2017-8-11,,"Perched Marsh (at edge of cliff)",Soil,"Tree (~15 ft) with grey bark and green dentate lanceolate leaves. Sweet resin/ spice odor when leaves crushed, inflorescence is dense clusters on leaf axils.",,,,,,,,"Rubus ursinus, Salix lasiolepis, Juncus hesperius",,,,,,,,"United States",California,"Santa Cruz",,"Western Terrace",,0,,37.071552,-122.254752,WGS84,,,,,,,,,,,,,,,,Monikaii,"2017-11-30 12:34:08",,12,urn:uuid:ad258c46-59fc-42ac-b4a2-2e7c1300b443,https://www.cch2.org/portal/collections/individual/index.php?occid=217263
232359,UCSC,,,PreservedSpecimen,8f9b5e50-4ada-4677-9d8a-67954a34dd40,UCSC100011582,3155,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Myrica,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Myrica californica",26363,Cham.,Myrica,,californica,,,Species,,,,,,,,"Peter Kamb",,1533,1948-10-09,1948,10,9,283,,"Oct 9 1948",,,,,,,,,,,,,,,,,,,,"United States",California,Marin,,"Bootjack Trail - Mt. Tamalpais -",,0,,37.90875244,-122.6002121,NAD27,657,,,,"Terrain Navigator 5.03 USGS 1:24000",,,,,,,,,,,,"2016-05-20 19:58:37",,13,urn:uuid:78db8115-291b-4754-9614-c1d73380e285,https://www.cch2.org/portal/collections/individual/index.php?occid=232359
236149,UCSC,,,PreservedSpecimen,da9c900a-6d5e-4327-a410-bb3bd567ec53,UCSC100011581,7765,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,,,,,,,,"Becky Hendricks",,s.n.,2012-05-16,2012,5,16,137,,16-May-12,"Voucher specimen for Rare Advantage Project (I.M. Parker and G. Gilbert)",,,,,,,,,,,,,,,,,,,"United States",California,"San Mateo",,"Año Nuevo State Park",,0,,37.160509,-122.326776,preprocessed,,,3955,,"Chico S.U. (no. 11)",,"GeoLocate (copied from UCSC7716)",,,,,,,,,"Al Keuter","2016-05-20 19:58:37",,13,urn:uuid:89cd66ba-2ae0-40d4-8d98-aa6d593bd3aa,https://www.cch2.org/portal/collections/individual/index.php?occid=236149
252177,LOB,,,PreservedSpecimen,e21a1610-1b14-4607-8d0a-1da27ac000ee,LOB114725,5568,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Myrica,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricacaeae,"Myrica californica",26363,Cham.,Myrica,,californica,,,Species,,,,,,,,"P.C. Baker",,5885,1968-10-19,1968,10,19,293,,19-Oct-68,,"Pygmy Forest",,,,,,,,,,,,,,,,,,"United States",California,Mendocino,,"exit of Van Damme State Park, off Calif. 1.",,0,,39.281602,-123.738066,WGS84,3983,,"Aefisher (2020-03-13 23:14:17)",,"georef batch tool 2020-03-13; GeoLocate","reviewed - high confidence",,,,,,,,,,,"2016-11-09 00:00:00",,19,urn:uuid:1c74e671-ae4c-44db-aa44-212c6cbebf66,https://www.cch2.org/portal/collections/individual/index.php?occid=252177
320983,UCSB,,,PreservedSpecimen,61dfedaf-a824-442c-ad00-c8e45a5a11db,UCSB038782,69430,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,,,,,,,,"Wayne R. Ferren",,UO-150,1984-09-25,1984,9,25,269,,,,,,,,,,,,,,,,,,,,,"Sheet - 1","United States",California,"Santa Barbara",,"Santa Ynez River Estuary. Growing under bridge at Floradale and Santa Ynez River.",,0,,34.672,-120.4928,NAD83,300,,"Santa Barbara Botanic Garden A",,"Terrain Nav. v. 7.8 USGS 1:24000",,,,,,,,,,,preprocessed,"2014-09-10 15:19:26",,35,urn:uuid:0e65a34c-8d87-4c1f-879e-907ce1f05459,https://www.cch2.org/portal/collections/individual/index.php?occid=320983
358465,SJSU,,,PreservedSpecimen,77e4c940-be3f-4bb0-b137-ac3dcd198648,883,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,,,,,,,,"A.W. Jacobs",,,1945-06-15,1945,6,15,166,,6/15/1945,,,,,,,,,,,,,,,0,,,,,"United States",California,"Santa Cruz",,"upper rd to Big Basin, W of Saratoga Summit",,0,,37.23252,-122.14771,WGS84,3856,,"UCSanta Cruz C",,"GoogleMaps via BerkeleyMapper",,"georef from 2006-2015 archive backup file; Date Georeferenced: Sat May 18 16:50:49 2013",,,,,,,,,preprocessed,"2019-02-06 15:13:00",,18,urn:uuid:77e4c940-be3f-4bb0-b137-ac3dcd198648,https://www.cch2.org/portal/collections/individual/index.php?occid=358465
364274,SJSU,,,PreservedSpecimen,e3880c3c-dd43-41a3-b90f-bea4ce690f1c,7501,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,,,,,,,,"Lewis S. Rose",,65091,1965-08-25,1965,8,25,237,,8/25/1965,,"wet sandy gully",,,,,,,,,,,,,0,,,,,"United States",California,"San Francisco",,"Lake Merced above Brotherhood Way",,0,,37.714,-122.4745,WGS84,1000,,,,"GoogleMaps via BerkeleyMapper (copied from HSC7765)",,"georef from 2006-2015 archive backup file; Date Georeferenced: Thu Dec 30 16:33:26 2010",15,,,,,,,,preprocessed,"2019-02-06 15:13:00",,18,urn:uuid:e3880c3c-dd43-41a3-b90f-bea4ce690f1c,https://www.cch2.org/portal/collections/individual/index.php?occid=364274
382617,SDSU,,,PreservedSpecimen,1f413b32-5245-4d00-b3ba-328cd34f22e1,08246,SDSU08246,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"Kyle L. Gunther",2020-01-22,"Jepson eFlora","Based on synonymy only.",,,,"Howe, D. F.",,3566,1963-06-30,1963,6,30,181,,06/30/1963,,,,,,,,,,,,,,,0,,,,,"United States",California,"Santa Barbara",,"Lake Oso Flaco",,0,,35.03,-120.6175,WGS84,,,,,"Coordinates from label",,"copied from duplicate",,,,,,,,,preprocessed,"2020-11-24 16:15:29",,6,urn:uuid:1f413b32-5245-4d00-b3ba-328cd34f22e1,https://www.cch2.org/portal/collections/individual/index.php?occid=382617
